title,genre,n.words
All's Well That Ends Well,Comedy,23009
Antony and Cleopatra,Tragedy,24905
As You Like It,Comedy,21690
Comedy of Errors,Comedy,14701
Coriolanus,Tragedy,27589
Cymbeline,Tragedy,27565
Hamlet,Tragedy,30557
"Henry IV, Part I",History,24579
"Henry IV, Part II",History,25689
Henry V,History,26119
"Henry VI, Part I",History,21607
"Henry VI, Part II",History,25439
"Henry VI, Part III",History,24294
Henry VIII,History,24629
Julius Caesar,Tragedy,19703
King John,History,20772
King Lear,Tragedy,26145
Love's Labour's Lost,Comedy,21459
Macbeth,Tragedy,17121
Measure for Measure,Comedy,21780
Merchant of Venice,Comedy,21291
Merry Wives of Windsor,Comedy,21845
Midsummer Night's Dream,Comedy,16511
Much Ado about Nothing,Comedy,21157
Othello,Tragedy,26450
Pericles,History,18529
Richard II,History,22423
Richard III,History,29278
Romeo and Juliet,Tragedy,24545
Taming of the Shrew,Comedy,21055
Tempest,Comedy,16633
Timon of Athens,Tragedy,18216
Titus Andronicus,Tragedy,20743
Troilus and Cressida,Tragedy,26089
Twelfth Night,Comedy,19837
Two Gentlemen of Verona,Comedy,17129
Winter's Tale,Comedy,24914
